Activity Name,Date,Sport Type,Distance (miles),Total Elevation Gain (ft),Difficulty Score
Evening Run,07/03/24,Run,6.17,245,6.66
Olson Park,10/23/19,MountainBikeRide,13.34,619,6.63
WPT - Tustin,06/02/20,Ride,21.86,554,6.62
Cherry Creek Falls,03/24/25,TrailRun,5.18,704,6.59
Cadillac Pathway,09/20/23,MountainBikeRide,12.22,824,6.59
Afternoon Run,04/26/25,Run,6.43,46,6.57
Emery,10/05/20,GravelRide,16.19,551,6.55
Red Deer Lake - Day 2,07/10/22,Hike,7.21,37,6.55
WPT - Tustin,03/27/20,Ride,21.86,498,6.51
Night Run,12/08/19,Run,5.92,266,6.5
WPT - Tustin,08/18/20,Ride,21.84,495,6.5
Evening Run,04/11/25,Run,6.13,177,6.48
DTE,10/22/20,MountainBikeRide,11.55,902,6.48
VASA ST,08/26/19,MountainBikeRide,14.15,379,6.47
Emery,03/08/21,GravelRide,16.21,504,6.46
Thursday Night Ride - AAVC,07/08/21,Ride,21.03,574,6.46
Arches National Park,05/30/22,Hike,5.45,1005,6.46
Both Lakes,06/23/20,Ride,22.55,379,6.45
WPT - Tustin,05/08/22,Ride,21.68,487,6.44
Night Run,08/15/24,Run,6.11,159,6.43
Evening Run,08/06/24,Run,6.11,162,6.43
WPT - Tustin,08/16/19,Ride,21.73,474,6.43
Olson Park,09/07/20,MountainBikeRide,12.07,769,6.42
North Table Mountain,08/12/22,MountainBikeRide,9.29,1103,6.39
Century Park + Pudong,05/07/25,Run,6.22,79,6.38
Olson Park,09/24/20,MountainBikeRide,12.3,701,6.37
Lake Mitchell + Benson,08/18/20,Ride,21.31,493,6.37
Dirty Harry's Balcony,11/24/23,Hike,4.65,1383,6.36
South Minneapolis,06/16/23,Ride,21.83,414,6.34
Olson Park,08/31/20,MountainBikeRide,12.19,675,6.27
Both Lakes,07/15/20,Ride,21.75,380,6.25
South Bund,05/05/25,Run,6.04,105,6.25
Bellevue,04/14/25,Ride,17.66,892,6.2
Cadillac Pathway,05/12/22,MountainBikeRide,11.09,854,6.2
Cadillac Pathway,06/10/20,MountainBikeRide,11.13,844,6.19
Baits Hill Laps,11/09/20,Ride,13.88,1337,6.19
Bertram Lake Park,07/15/23,MountainBikeRide,12.76,515,6.18
Cadillac Pathway,07/20/20,MountainBikeRide,11.08,849,6.18
Kirkland,07/06/25,Ride,17.92,840,6.16
Cadillac Pathway,07/22/19,MountainBikeRide,11.13,825,6.15
Cadillac Pathway,07/16/19,MountainBikeRide,11.16,809,6.13
Cadillac Pathway,07/26/19,MountainBikeRide,11.19,803,6.13
Cadillac Pathway,05/07/22,MountainBikeRide,10.99,838,6.12
Bellevue,04/06/25,Ride,17.33,895,6.12
Cadillac Pathway,07/29/20,MountainBikeRide,10.97,838,6.12
Cadillac Pathway,06/29/20,MountainBikeRide,11.05,827,6.12
Cadillac Pathway,07/30/19,MountainBikeRide,11.15,799,6.11
